Name	GND
Avenarius Ferdinand	https://d-nb.info/gnd/118651218	https://d-nb.info/gnd/1159021821	https://d-nb.info/gnd/1073469557	https://d-nb.info/gnd/1069304824	https://d-nb.info/gnd/116389184	https://d-nb.info/gnd/135838800
Averdieck C.	116239565
Averina J.	1316659151
Axaméthy-Racher Rosa	kein Eintrag von api gefunden
Ayrer Gustav Heinrich	117764744
Baader Amalie	1012174247
Baars Ernst	1173434860
Baas Eduard	1050424581
Bab Julius	https://d-nb.info/gnd/116019891	https://d-nb.info/gnd/116019786	https://d-nb.info/gnd/1231148748
Bäbchen August	1055758445
Baeblich Lucie	117766895
Baeblich Hermann	117766887
Bacciocco Friedr. Albrecht	116022485
Bach Friedrich	117534633
Bach Hugo	https://d-nb.info/gnd/116024593	https://d-nb.info/gnd/1036224864	https://d-nb.info/gnd/1232099724
Bach Jenny	https://d-nb.info/gnd/1034664581	https://d-nb.info/gnd/1258202808
Bach Ottilie	117764558
Bach Paul	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bach Samuel	1079724389
Bach-Gelpke Marie Luise	117764574
Bacher Eduard	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bacher Julius	11776647X
Bacheracht Therese von	https://d-nb.info/gnd/116735260	https://d-nb.info/gnd/118729624
Bacherer Gustav	https://d-nb.info/gnd/116026146	https://d-nb.info/gnd/124774148
Bacherl Franz	11776650X
Bachmann Franz	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bachmann Georg	139415815
Bachmann Hermann	https://d-nb.info/gnd/116035161	https://d-nb.info/gnd/1079038019
Bachmann Johann	117766534
Bachmayr Johann Nepomuk	116028246
Bachoven von Echt Karl Anton Hubert	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bächtold Elisabeth Florentine	1220042978
Bäcker Heinrich	116035765
Backhaus Wilhelm Emanuel	116029587
Bacmeister Adolf	116029714
Bacmeister Hermann	https://d-nb.info/gnd/116029773	https://d-nb.info/gnd/129277142	https://d-nb.info/gnd/11853307X
Bacmeister Johann	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bacmeister Lucie	https://d-nb.info/gnd/1057765139	https://d-nb.info/gnd/118646230
Bacmeister Ernst	https://d-nb.info/gnd/118646230	https://d-nb.info/gnd/1057765139
Badendieck Alexander Andreas	117760978
Badenfeld Eduard	11603047X
Bader Franz	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Badke Hermann Otto	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Baege Paul	117766976
Bagge Oskar	https://d-nb.info/gnd/116039183	https://d-nb.info/gnd/1158604572
Bagienski Trußka	126379777
Bahlmann Paul	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bahlsen Leopold	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bahn Adolf	https://d-nb.info/gnd/116039558	https://d-nb.info/gnd/1212258983
Bahr Erich Hermann	kein Eintrag von api gefunden
Baehr Paul	117766984
Bahrs Karl	1034669508
Baier Benjamin	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Baierlein Joseph	130199109
Baierlein Marie	11776499X
Baisch Otto	https://d-nb.info/gnd/116041048	https://d-nb.info/gnd/116769998
Baist Gustav	116041129
Bajovar Joseph	116046554
Bakody Theodor	138442762
