Name	GND
Berger E	https://d-nb.info/gnd/1157792472	https://d-nb.info/gnd/1072958163	https://d-nb.info/gnd/1037277589	https://d-nb.info/gnd/105550432X	https://d-nb.info/gnd/4798584-7	https://d-nb.info/gnd/170916898
Berger Johanna	130100927
Berger Ida	https://d-nb.info/gnd/1136348484	https://d-nb.info/gnd/1157048889
Berger Marie	122739294X
Berger Therese	https://d-nb.info/gnd/1023068958	https://d-nb.info/gnd/1073522407	https://d-nb.info/gnd/1073440974
Bergmann Marie	1017713340
Bergner Anna	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bergson v. Sonnenberg Emma	kein Eintrag von api gefunden
Bergthal Friederike	kein Eintrag von api gefunden
Berkamp O	101221657
Berkow Karl	https://d-nb.info/gnd/1116741369	https://d-nb.info/gnd/117446823
Berks Marie Edle	116135395
Berlepsch Lina	https://d-nb.info/gnd/116135875	https://d-nb.info/gnd/116135662	https://d-nb.info/gnd/136600859
Berlepsch M. Goswina	kein Eintrag von api gefunden
Berlin Dorothea	126285802
Bern Martha	11883018X
Bern Olga	https://d-nb.info/gnd/116136561	https://d-nb.info/gnd/117285064	https://d-nb.info/gnd/116136545
Bernadzikowska Jelica	1055245901
Bernau Anna	118156543
Bernburg Bertha	kein Eintrag von api gefunden
Berner Else	1095138332
Bernet Stephanie	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bernhard Auguste	https://d-nb.info/gnd/1173436766	https://d-nb.info/gnd/116522720	https://d-nb.info/gnd/1015127657	https://d-nb.info/gnd/1211622789	https://d-nb.info/gnd/1263808522	https://d-nb.info/gnd/1287950337	https://d-nb.info/gnd/1024253309	https://d-nb.info/gnd/1211622339
Bernhard L	1319615325
Bernhard-Schalk Anna	kein Eintrag von api gefunden
Bernhard Marie	116146273
Bernhardi Luise	https://d-nb.info/gnd/127413146	https://d-nb.info/gnd/1032686162
Bernhardt Adelheid	126043949
Bernow Ludwig	117235733
Bernstein A	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bernstein Elsa	https://d-nb.info/gnd/1060236745	https://d-nb.info/gnd/118809407
Bernstorf Elise	122618203
Bernthsen Professor	kein Eintrag von api gefunden
Berthet Elie	100799558
Berthof Max	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Berthold Helene	https://d-nb.info/gnd/1071551795	https://d-nb.info/gnd/1130258831
Berthold Luise	https://d-nb.info/gnd/1323451919	https://d-nb.info/gnd/1035157799	https://d-nb.info/gnd/1323449647	https://d-nb.info/gnd/137341938	https://d-nb.info/gnd/1017769982
Berthold L	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bertling Agathe	1159358419
Berton Karoline	kein Eintrag von api gefunden
Bertram Anna	https://d-nb.info/gnd/1202635008	https://d-nb.info/gnd/1269143085
Beruna A	118156543
Besobrasof Marie	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bessmertny Marie	116154985
Betemann Clelie	137537719
Bethusy-Huc Valesca	10121653X
Betkowska Elise	kein Eintrag von api gefunden
Bettina 	https://d-nb.info/gnd/174300352	https://d-nb.info/gnd/1102926957
Betty Tante	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Beutner Renata	143368494
Beyer Anna	1073431908
Beyer Ottilie	118001930
Beyrich Clementine	116160187
Bezerédy Amalie	1055113746
Bibra-Spesshardt Thekla	116161760
Bibus Ottilie	116161787
Bickersteth-Ward Charlotte	kein Eintrag von api gefunden
Biebendt Anna	1055113355
Bieber-Böhm Hanna	https://d-nb.info/gnd/116162937	https://d-nb.info/gnd/1243981148
Biedermann Magdalene Ernestine Clara	1089730926
Biegeleben Marianne	1303506211
Biel Anni	5569617-X
Biervliet Mélanie	1158433115
Bigot Charl	124536670
Bigot Madame	124536670
Bihan Angelika	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bilder 	https://d-nb.info/gnd/1113208899	https://d-nb.info/gnd/1028019025	https://d-nb.info/gnd/1132089727	https://d-nb.info/gnd/300798776	https://d-nb.info/gnd/300949359	https://d-nb.info/gnd/300603894	https://d-nb.info/gnd/1218269812	https://d-nb.info/gnd/1081727977	https://d-nb.info/gnd/1307972977	https://d-nb.info/gnd/1112571779
Biller Clara	117347566
Biller E	117347566
Billmann Lina	kein Eintrag von api gefunden
Bimbach Julie	kein Eintrag von api gefunden
Binder Helene	https://d-nb.info/gnd/116183373	https://d-nb.info/gnd/1073650030
Binder Sidonie	116183578
Bindewald Luise	kein Eintrag von api gefunden
Bindschedler Emma	1289570094
Bindschedler-Boesch Nina	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Bing Bertha	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Binzer Emilie	118663313
Binzer Ina	1065065310
Birch-Pfeiffer Charl	118658875
Bird Isabella L	119369761
Birgfeld Louise	kein Eintrag von api gefunden
Birkham Cäcilie	kein Eintrag von api gefunden
Birkhold Hedwig	1073838021
Birndt Claudia C	https://d-nb.info/gnd/140643222	https://d-nb.info/gnd/1189707438
Birndt Fanny	https://d-nb.info/gnd/1189707438	https://d-nb.info/gnd/140643222
Bischoff Amanda	kein Eintrag von api gefunden
Bischoffshausen L.	1055264485
Bisland Elisabeth	kein Eintrag von api gefunden
Bissing Henriette	https://d-nb.info/gnd/116195819	https://d-nb.info/gnd/116195827
Bistram Ottilie	https://d-nb.info/gnd/116197854	https://d-nb.info/gnd/1237573149
Bistram Lilli	kein Eintrag von api gefunden
Blacker Carola	101217784X
Blankenstein M Amanda	1074211324
Blangy-Lebzeltern 	"im Untersuchungszeitraum, aber Beruf eindeutig nicht als ""Autor:in"" gelabeled"
Blanzger Minna	kein Eintrag von api gefunden
Blasche Hedwig	1073838021
Blaschke Therese	kein Eintrag von api gefunden
Blaschnik-Arndt Fanny	116342692
Blass Auguste	11620043X
Blaze de Bury 	https://d-nb.info/gnd/116200952	https://d-nb.info/gnd/126530209X	https://d-nb.info/gnd/116200960
Bleibtreu Marie	1130259986
Blennerhassett Charlotte	118511688
Bloch Bianca	173675417
Bloch Ida	127770763
