,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
12841,"Gottlieb, Arthur",Gottlieb Arthur,Gottlieb,Arthur,.
12842,"Goetz, Ferdinand",Goetz Ferdinand,Goetz,Ferdinand,.
12843,"Götz, Wolfgang",Götz Wolfgang,Götz,Wolfgang,.
12844,"Grabe, Franz",Grabe Franz,Grabe,Franz,.
12845,"Grabein, Paul",Grabein Paul,Grabein,Paul,.
12846,"Grabowski, Elisabeth",Grabowski Elisabeth,Grabowski,Elisabeth,.
12847,"Grabowsky, Adolf",Grabowsky Adolf,Grabowsky,Adolf,.
12848,"Graef, Hermann",Graef Hermann,Graef,Hermann,.
12849,"Grandinger, Johannes",Grandinger Johannes,Grandinger,Johannes,.
12850,"Gräser, Erdmann",Gräser Erdmann,Gräser,Erdmann,.
12851,"Graunke, Otto",Graunke Otto,Graunke,Otto,3. Febr.1861
12852,"Grautoff, Erna",Grautoff Erna,Grautoff,Erna,10. Jan. 1885
12853,"Graeve, Eugenie Edle von",Graeve Eugenie Edle,Graeve,Eugenie Edle,.
12854,"Grazie, Marie Eugenie delle",Grazie Marie Eugenie delle,Grazie,Marie Eugenie delle,.
12855,"Greber, Julius",Greber Julius,Greber,Julius,.
12856,"Greef, Helene",Greef Helene,Greef,Helene,.
12857,"Greif, Martin",Greif Martin,Greif,Martin,.
12858,"Greiner, Leo",Greiner Leo,Greiner,Leo,.
12859,"Greinz, Hugo",Greinz Hugo,Greinz,Hugo,.
12860,"Greinz, Rudolf",Greinz Rudolf,Greinz,Rudolf,.
12861,"Greyerz, Otto",Greyerz Otto,Greyerz,Otto,.
12862,"Grimm, Anton",Grimm Anton,Grimm,Anton,.
12863,"Grimm, Hans",Grimm Hans,Grimm,Hans,22. März1875
12864,"Groddeck, Georg Walter",Groddeck Georg Walter,Groddeck,Georg Walter,13. Oktober 1866
12865,"Gröhe, Therese",Gröhe Therese,Gröhe,Therese,.
12866,"Gronen, Damian",Gronen Damian,Gronen,Damian,.
12867,"Groner, Auguste",Groner Auguste,Groner,Auguste,.
12868,"Groß, Joseph",Groß Joseph,Groß,Joseph,.
12869,"Groß, Karl",Groß Karl,Groß,Karl,.
12870,"Groth, Ernst Johann",Groth Ernst Johann,Groth,Ernst Johann,.
12871,"Groth, Klaus",Groth Klaus,Groth,Klaus,28. Septbr. 1912
12872,"Grothe, Hugo",Grothe Hugo,Grothe,Hugo,.
12873,"Grotowsky, Paul",Grotowsky Paul,Grotowsky,Paul,.
12874,"Grotthuß, Jeannot Freiherr von",Grotthuß Jeannot,Grotthuß,Jeannot,.
12875,"Grube(-Templin), Karl",Grube(-Templin) Karl,Grube(-Templin),Karl,.
12876,"Grube, Max",Grube Max,Grube,Max, Januar 1913
12877,"Gruber, Karl",Gruber Karl,Gruber,Karl,.
12878,"Grunert, Carl",Grunert Carl,Grunert,Carl,.
12879,"Grüninger, Jakob",Grüninger Jakob,Grüninger,Jakob,.
12880,"Grünstein, Joseph",Grünstein Joseph,Grünstein,Joseph,.
12881,"Grünstein, Leo",Grünstein Leo,Grünstein,Leo,.
12882,"Grupe-Lörcher, Erika",Grupe-Lörcher Erika,Grupe-Lörcher,Erika,.
12883,"Gubalke, Frau Lotte",Gubalke Frau Lotte,Gubalke,Frau Lotte,.
12884,"Guglia, Eugen",Guglia Eugen,Guglia,Eugen,.
12885,"Gumppenberg, Hanns Frhr. v",Gumppenberg Hanns,Gumppenberg,Hanns,.
12886,"Gunkel, Christiana",Gunkel Christiana,Gunkel,Christiana,.
12887,"Guenther, Johannes v",Guenther Johannes,Guenther,Johannes,.
12888,"Günther(-Schwerin), Leopold",Günther(-Schwerin) Leopold,Günther(-Schwerin),Leopold,2. März 1865
12889,"Guenther, Viktor Leopold",Guenther Viktor Leopold,Guenther,Viktor Leopold,14. Mai 1873
12890,"Guercke, Else",Guercke Else,Guercke,Else,.
12891,"Gurschner, Alice",Gurschner Alice,Gurschner,Alice,.
12892,"Güterbock, Grete",Güterbock Grete,Güterbock,Grete,.
12893,"Gutherz, Gerhard",Gutherz Gerhard,Gutherz,Gerhard,7.Septbr. 1877
12894,"Gutherz, Harald",Gutherz Harald,Gutherz,Harald,.
12895,"Guthmann, Johannes",Guthmann Johannes,Guthmann,Johannes,.
12896,"Gutzkow, Hermann",Gutzkow Hermann,Gutzkow,Hermann,27.Februar 1909
12897,"Gutzkow, Karl",Gutzkow Karl,Gutzkow,Karl,.
12898,"Haage, Rudolf",Haage Rudolf,Haage,Rudolf,17. April 1911
12899,"Haarhaus, Julius",Haarhaus Julius,Haarhaus,Julius,.
12900,"Haarmann, Wilhelm",Haarmann Wilhelm,Haarmann,Wilhelm,.
12901,"Haase, Joseph",Haase Joseph,Haase,Joseph,.
12902,"Haase, Lene",Haase Lene,Haase,Lene,18. Januar 1888
12903,"Hackenschmidt, Karl",Hackenschmidt Karl,Hackenschmidt,Karl,29. Septbr. 1870
12904,"Hadwiger, Viktor",Hadwiger Viktor,Hadwiger,Viktor,4. Oktbr. 1911
12905,"Hagedorn, Chr",Hagedorn Chr,Hagedorn,Chr,.
12906,"Hagen, Anna",Hagen Anna,Hagen,Anna,.
12907,"Hagen, Otfried",Hagen Otfried,Hagen,Otfried,.
12908,"Hahn, Emilie",Hahn Emilie,Hahn,Emilie,.
12909,"Hahn, Oskar",Hahn Oskar,Hahn,Oskar,.
12910,"Hähnel, Franziskus",Hähnel Franziskus,Hähnel,Franziskus,.
12911,"Haek, David",Haek David,Haek,David,.
12912,"Halbe, Max",Halbe Max,Halbe,Max,.
12913,"Halberthal, Awrum (Abraham",Halberthal Awrum Abraham,Halberthal,Awrum Abraham,.
12914,"Halding, Arthur",Halding Arthur,Halding,Arthur,.
12915,"Haller, Franz Wilhelm",Haller Franz Wilhelm,Haller,Franz Wilhelm,16. Mai 1891
12916,"Halm, Alfred",Halm Alfred,Halm,Alfred,.
12917,"Halter, Eduard",Halter Eduard,Halter,Eduard,.
12918,"Halusa, Tezelin",Halusa Tezelin,Halusa,Tezelin,.
12919,"Hamann, Elisabeth Margarete",Hamann Elisabeth Margarete,Hamann,Elisabeth Margarete,18. Dezember 1853
12920,"Hamann, Ludwig",Hamann Ludwig,Hamann,Ludwig,.
12921,"Hamerling, Robert",Hamerling Robert,Hamerling,Robert,.
12922,"Hammer, Ernst",Hammer Ernst,Hammer,Ernst,.
12923,"Hammer, Hella",Hammer Hella,Hammer,Hella,.
12924,"Hammon, Rudolf",Hammon Rudolf,Hammon,Rudolf,.
12925,"Handel-Mazzetti, Enrica",Handel-Mazzetti Enrica,Handel-Mazzetti,Enrica,.
12926,"Haendler, Otto",Haendler Otto,Haendler,Otto,.
12927,"Hango, Hermann",Hango Hermann,Hango,Hermann,.
12928,"Hansen, Heinrich",Hansen Heinrich,Hansen,Heinrich,14. Oktbr. 1862
12929,"Hansjacob, Heinrich",Hansjacob Heinrich,Hansjacob,Heinrich,.
12930,"Hanstein, Otfried von",Hanstein Otfried,Hanstein,Otfried,23. Septbr. 1869
12931,"Harbon, Thea von",Harbon Thea,Harbon,Thea,.
12932,"Harder, Agnes",Harder Agnes,Harder,Agnes,.
12933,"Hardt, Ernst",Hardt Ernst,Hardt,Ernst,.
12934,"Hardt, Hans",Hardt Hans,Hardt,Hans,.
12935,"Hardt, Leo",Hardt Leo,Hardt,Leo,.
12936,"Harlan, Walter",Harlan Walter,Harlan,Walter,.
12937,"Harmening, Ernst",Harmening Ernst,Harmening,Ernst,.
12938,"Harnack, Otto",Harnack Otto,Harnack,Otto,.
12939,"Hart, Julius",Hart Julius,Hart,Julius,.
12940,"Harten(-Dillen), Johann von",Harten(-Dillen) Johann von,Harten(-Dillen),Johann von,.
12941,"Hartenfels, Wilhelm Karl",Hartenfels Wilhelm Karl,Hartenfels,Wilhelm Karl,23. August 1863
12942,"Hartenstein, Anna",Hartenstein Anna,Hartenstein,Anna,.
12943,"Hartig, Leopold Graf",Hartig Leopold,Hartig,Leopold,9. Novbr. 1866
12944,"Hartmann, Guido",Hartmann Guido,Hartmann,Guido,.
12945,"Hartog, Marie",Hartog Marie,Hartog,Marie,.
12946,"Hartung, Max",Hartung Max,Hartung,Max,.
12947,"Hartwig, Paul Hermann",Hartwig Paul Hermann,Hartwig,Paul Hermann,.
12948,"Haun, Ernst",Haun Ernst,Haun,Ernst,27. Jan.1879
12949,"Hauptmann, Gerhart",Hauptmann Gerhart,Hauptmann,Gerhart,.
12950,"Hauptmann, Hans",Hauptmann Hans,Hauptmann,Hans,.
12951,"Hauptmann, Karl",Hauptmann Karl,Hauptmann,Karl,.
12952,"Hauptmann, Karl",Hauptmann Karl,Hauptmann,Karl,.
12953,"Hausdorff, Felix",Hausdorff Felix,Hausdorff,Felix,.
12954,"Hauser, Otto",Hauser Otto,Hauser,Otto,.
12955,"Hauser-Edel, Karoline",Hauser-Edel Karoline,Hauser-Edel,Karoline,.
12956,"Haushofer, Max",Haushofer Max,Haushofer,Max,.
12957,"Haushofer(-Merk), Emma",Haushofer(-Merk) Emma,Haushofer(-Merk),Emma,.
12958,"Hausmann, Eduard",Hausmann Eduard,Hausmann,Eduard,.
12959,"Havemann, Johann Julius",Havemann Johann Julius,Havemann,Johann Julius,1. Oktober 1866
12960,"Haymerle, Franz Ritter von",Haymerle Franz,Haymerle,Franz,.
12961,"Hebbel, Friedrich",Hebbel Friedrich,Hebbel,Friedrich,.
12962,"Hebentanz(-Kaempfer), Lucy von",Hebentanz(-Kaempfer) Lucy,Hebentanz(-Kaempfer),Lucy,.
12963,"Heckscher, Siegfried",Heckscher Siegfried,Heckscher,Siegfried,.
12964,"Heer, Jakob Christoph",Heer Jakob Christoph,Heer,Jakob Christoph,.
12965,"Hegeler, Wilhelm",Hegeler Wilhelm,Hegeler,Wilhelm,.
12966,"Heiberg, Hermann",Heiberg Hermann,Heiberg,Hermann,.
12967,"Heilborn, Adolf",Heilborn Adolf,Heilborn,Adolf,.
12968,"Heilborn, Ernst",Heilborn Ernst,Heilborn,Ernst,1. April 1911
12969,"Heilbronn, Ludwig",Heilbronn Ludwig,Heilbronn,Ludwig,6.Oktober 1869
12970,"Heilmann, Margarete",Heilmann Margarete,Heilmann,Margarete,27. Septbr. 1859
12971,"Heim, Ludwig",Heim Ludwig,Heim,Ludwig,.
12972,"Heimann, Moritz",Heimann Moritz,Heimann,Moritz,.
12973,"Heimbach, Hans",Heimbach Hans,Heimbach,Hans,.
12974,"Heine, Gerhard",Heine Gerhard,Heine,Gerhard,.
12975,"Heine, Hermann",Heine Hermann,Heine,Hermann,10. Mai1905
12976,"Heinemann, Hermann Olaf",Heinemann Hermann Olaf,Heinemann,Hermann Olaf,.
12977,"Heinrich, Hermann",Heinrich Hermann,Heinrich,Hermann,.
12978,"Heinroth, Elisabeth",Heinroth Elisabeth,Heinroth,Elisabeth,.
12979,"Held, Hans Ludwig",Held Hans Ludwig,Held,Hans Ludwig,1. August 1885
12980,"Heller, Leo",Heller Leo,Heller,Leo,.
12981,"Helmer, Franz Alfons",Helmer Franz Alfons,Helmer,Franz Alfons,2. August 1876
12982,"Helmer, Käthe",Helmer Käthe,Helmer,Käthe,.
12983,"Henckell, Karl",Henckell Karl,Henckell,Karl,.
12984,Henne am Rhyn,Henne am Rhyn ,Henne am Rhyn,,.
12985,"Henrici, Ernst",Henrici Ernst,Henrici,Ernst,.
12986,"Hepp, Karl",Hepp Karl,Hepp,Karl,24. Mai 1912
12987,"Hermanns, Wilhelm",Hermanns Wilhelm,Hermanns,Wilhelm,.
12988,"Herold, Theodor",Herold Theodor,Herold,Theodor, Dezember 1911
12989,"Herse, Else",Herse Else,Herse,Else,15. April1864
12990,"Hertel, Betty",Hertel Betty,Hertel,Betty,.
12991,"Hertz, Alice",Hertz Alice,Hertz,Alice,.
12992,"Herz, Hermann",Herz Hermann,Herz,Hermann,April 1874
12993,"Herzfeld, Franz",Herzfeld Franz,Herzfeld,Franz,.
12994,"Herzog, Rudolf",Herzog Rudolf,Herzog,Rudolf, September 1911
12995,"Hespe, Ludwig Adalbert",Hespe Ludwig Adalbert,Hespe,Ludwig Adalbert,24. Oktbr. 1877
12996,"Hesse, Alice",Hesse Alice,Hesse,Alice,.
12997,"Hesse, Hermann",Hesse Hermann,Hesse,Hermann,.
12998,"Hessel, Karl",Hessel Karl,Hessel,Karl,.
12999,"Hettlingen, Heinrich",Hettlingen Heinrich,Hettlingen,Heinrich,.
13000,"Heubner, Rudolf",Heubner Rudolf,Heubner,Rudolf,.
13001,"Hevesi, Ludwig",Hevesi Ludwig,Hevesi,Ludwig,.
13002,"Heyer, Franz",Heyer Franz,Heyer,Franz,.
13003,"Heym, Georg",Heym Georg,Heym,Georg,16. Januar 1912
13004,"Heymann, Robert",Heymann Robert,Heymann,Robert,.
13005,"Heymer, Ludmilla",Heymer Ludmilla,Heymer,Ludmilla,.
13006,"Heyse, Paul",Heyse Paul,Heyse,Paul,.
13007,"Heyßler, Max",Heyßler Max,Heyßler,Max,.
13008,"Hildebrand (-von Renauld), Maximiliana oder Lina",Hildebrand (-von Renauld) Maximiliana oder Lina,Hildebrand (-von Renauld),Maximiliana oder Lina,.
13009,"Hildenbrand, Theodor",Hildenbrand Theodor,Hildenbrand,Theodor,.
13010,"Hill, Anna",Hill Anna,Hill,Anna,13. Novbr. 1912
13011,"Hill, Karl Heinz",Hill Karl Heinz,Hill,Karl Heinz,.
13012,"Hillern, Wilhelmine von",Hillern Wilhelmine,Hillern,Wilhelmine, Oktober 1909
13013,"Hillmann, Franz",Hillmann Franz,Hillmann,Franz,.
13014,"Hillmann, Robert",Hillmann Robert,Hillmann,Robert,.
13015,"Himmelbauer, Franz",Himmelbauer Franz,Himmelbauer,Franz,.
13016,"Hinnius, Anna",Hinnius Anna,Hinnius,Anna,1. Januar1911
13017,"Hinrichsen, Adolf",Hinrichsen Adolf,Hinrichsen,Adolf,.
13018,"Hinrichsen, Otto",Hinrichsen Otto,Hinrichsen,Otto,.
13019,"Hintmann, Friedrich",Hintmann Friedrich,Hintmann,Friedrich,.
13020,"Hirsch, Joseph Julius",Hirsch Joseph Julius,Hirsch,Joseph Julius,26. Januar 1866
13021,"Hirsch, Marie",Hirsch Marie,Hirsch,Marie,17. November 1911
13022,"Hirschberg, Rudolf",Hirschberg Rudolf,Hirschberg,Rudolf,.
13023,"Hirschfeld, Georg",Hirschfeld Georg,Hirschfeld,Georg,.
13024,"Hirschfeld, Hermann",Hirschfeld Hermann,Hirschfeld,Hermann,.
13025,"Hirschfeld, Ludwig",Hirschfeld Ludwig,Hirschfeld,Ludwig,.
13026,"Hladny, Ernst",Hladny Ernst,Hladny,Ernst,1. April1883
13027,"Hobein, Eduard",Hobein Eduard,Hobein,Eduard,.
13028,"Hobrecht, Arthur",Hobrecht Arthur,Hobrecht,Arthur,7. Juli 1912
13029,"Hochdorf, Max",Hochdorf Max,Hochdorf,Max,.
13030,"Hochstetter, Gustav",Hochstetter Gustav,Hochstetter,Gustav,.
13031,"Hoechstetter, Sophie",Hoechstetter Sophie,Hoechstetter,Sophie,.
13032,"Höcker, Gustav",Höcker Gustav,Höcker,Gustav,9. Oktober 1911
13033,"Höcker, Paul Oskar",Höcker Paul Oskar,Höcker,Paul Oskar,.
13034,"Höfer, Jrma von",Höfer Jrma von,Höfer,Jrma von,8. August 1875
13035,"Höfer, Paul",Höfer Paul,Höfer,Paul,.
13036,"Höffer, Else",Höffer Else,Höffer,Else,.
13037,"Hoffmann, Adalbert",Hoffmann Adalbert,Hoffmann,Adalbert,.
13038,"Hoffmann, K. Emil",Hoffmann K. Emil,Hoffmann,K. Emil,.
13039,"Hoffmann, Max",Hoffmann Max,Hoffmann,Max,.
13040,"Hoffmann, Oskar",Hoffmann Oskar,Hoffmann,Oskar,.
13041,"Hoffmann-Courtier, Willi",Hoffmann-Courtier Willi,Hoffmann-Courtier,Willi,.
13042,"Höffner, Johannes",Höffner Johannes,Höffner,Johannes,.
13043,"Hoffschulte, Konrad",Hoffschulte Konrad,Hoffschulte,Konrad,.
13044,"Hofmann, Else",Hofmann Else,Hofmann,Else,.
13045,"Hofmann, Max",Hofmann Max,Hofmann,Max,.
13046,"Hofmannsthal, Hugo von",Hofmannsthal Hugo,Hofmannsthal,Hugo,.
13047,"Hohburg, Paulus",Hohburg Paulus,Hohburg,Paulus,.
13048,"Hohlbaum, Robert",Hohlbaum Robert,Hohlbaum,Robert,.
13049,"Höhler, Matthias",Höhler Matthias,Höhler,Matthias,.
13050,"Hohoff, Marie",Hohoff Marie,Hohoff,Marie,.
13051,"Hohoff, Klara",Hohoff Klara,Hohoff,Klara,.
13052,"Höler, Georg Jgnaz",Höler Georg Jgnaz,Höler,Georg Jgnaz,27. Juli 1865
13053,"Hollaender, Felix",Hollaender Felix,Hollaender,Felix,.
13054,"Hollstein, Georg",Hollstein Georg,Hollstein,Georg,.
13055,"Holm, Karl",Holm Karl,Holm,Karl,.
13056,"Holm, Korfiz",Holm Korfiz,Holm,Korfiz,.
13057,"Holm, Mia",Holm Mia,Holm,Mia,14. Juli 1912
13058,"Holmquist, Mary",Holmquist Mary,Holmquist,Mary,4. Septbr. 1912
13059,"Holnstein aus Bayern, Bruno Graf von",Holnstein aus Bayern Bruno,Holnstein aus Bayern,Bruno,14. Juli 1861
13060,"Holst, Adolf",Holst Adolf,Holst,Adolf,.
13061,"Holtschmidt, Friedrich",Holtschmidt Friedrich,Holtschmidt,Friedrich,16. Oktober 1911
13062,"Holzamer, Wilhelm",Holzamer Wilhelm,Holzamer,Wilhelm,.
13063,"Holzhey, Georg",Holzhey Georg,Holzhey,Georg,.
13064,"Holzschuher, Hanns",Holzschuher Hanns,Holzschuher,Hanns,3. August 1912
13065,"Homann, Walter",Homann Walter,Homann,Walter,.
13066,"Homscheid, Marie",Homscheid Marie,Homscheid,Marie,19.Dezember 1872
13067,Homunculus,Homunculus ,Homunculus,,.
13068,"Horand, F. M",Horand F. M,Horand,F. M,.
13069,"Hoerle, Eugen",Hoerle Eugen,Hoerle,Eugen,.
13070,"Hornbostel, Klaus",Hornbostel Klaus,Hornbostel,Klaus,.
13071,"Hornstein(-Hohenstoffeln), Ferdinand Freiherr v",Hornstein(-Hohenstoffeln) Ferdinand,Hornstein(-Hohenstoffeln),Ferdinand,.
13072,"Houben, Heinrich",Houben Heinrich,Houben,Heinrich,.
13073,"Houben, Heinrich Cornelius",Houben Heinrich Cornelius,Houben,Heinrich Cornelius,21. April 1838
13074,"Hruschka, Annie",Hruschka Annie,Hruschka,Annie,.
13075,"Hübel, Felix",Hübel Felix,Hübel,Felix,.
13076,"Hübener, Helene",Hübener Helene,Hübener,Helene,.
13077,"Huber(-Cador), Anna",Huber(-Cador) Anna,Huber(-Cador),Anna,.
13078,"Huch, Friedrich",Huch Friedrich,Huch,Friedrich,.
13079,"Huch, Ricarda",Huch Ricarda,Huch,Ricarda,.
13080,"Huch, Rudolf",Huch Rudolf,Huch,Rudolf,.
13081,"Hugendubel, Heinrich",Hugendubel Heinrich,Hugendubel,Heinrich,.
13082,"Huggenberger, Alfred",Huggenberger Alfred,Huggenberger,Alfred,.
13083,"Hügli, Emil",Hügli Emil,Hügli,Emil,.
13084,"Hugo, Paul",Hugo Paul,Hugo,Paul,.
13085,"Huldschiner, Richard",Huldschiner Richard,Huldschiner,Richard,.
13086,"Hülsen, Hans von",Hülsen Hans,Hülsen,Hans,5. April 1890
13087,"Hummel, Frida",Hummel Frida,Hummel,Frida,.
13088,"Huna, Ludwig",Huna Ludwig,Huna,Ludwig,.
13089,"Hünerbein, Charlotte von",Hünerbein Charlotte,Hünerbein,Charlotte,.
13090,"Hungerland, Heinz",Hungerland Heinz,Hungerland,Heinz,5. Mai 1875
13091,"Husmann, Fritz",Husmann Fritz,Husmann,Fritz, Juli 1909
13092,"Hyan, Hans",Hyan Hans,Hyan,Hans,.
13093,"Jacob, H. Georg",Jacob H. Georg,Jacob,H. Georg,25. Mai1874
13094,"Jacobi, Emil",Jacobi Emil,Jacobi,Emil,25. März1868
13095,"Jacobowski, Ludwig",Jacobowski Ludwig,Jacobowski,Ludwig,.
13096,"Jacobs, Jakob",Jacobs Jakob,Jacobs,Jakob,25. Oktober 1908
13097,"Jacobsen, Friedrich",Jacobsen Friedrich,Jacobsen,Friedrich,.
13098,"Jacobson, Benno",Jacobson Benno,Jacobson,Benno,9. Mai 1912
13099,"Jacoby, Karl M",Jacoby Karl M,Jacoby,Karl M,.
13100,"Jacques, Norbert",Jacques Norbert,Jacques,Norbert,.
13101,"Jäger, Johann Martin",Jäger Johann Martin,Jäger,Johann Martin,.
13102,"Janitschek, Maria",Janitschek Maria,Janitschek,Maria,.
13103,"Janke, Erich",Janke Erich,Janke,Erich,.
13104,"Janke, Friedrich",Janke Friedrich,Janke,Friedrich,.
13105,"Jaques, Hermann",Jaques Hermann,Jaques,Hermann,.
13106,"Jardon, Cornelia",Jardon Cornelia,Jardon,Cornelia,10.April 1859
13107,"Jastrow, Bernhard",Jastrow Bernhard,Jastrow,Bernhard,.
13108,"Jedrzejewski, Franz",Jedrzejewski Franz,Jedrzejewski,Franz,.
13109,"Jegerlehner, J",Jegerlehner J,Jegerlehner,J,.
13110,"Jensen, Wilhelm",Jensen Wilhelm,Jensen,Wilhelm,24. Novbr. 1911
13111,"Jesinghaus, Walter",Jesinghaus Walter,Jesinghaus,Walter,.
13112,"Jessen, Marie",Jessen Marie,Jessen,Marie,.
13113,"Jlg, Paul",Jlg Paul,Jlg,Paul,.
13114,"Jlgenstein, Heinrich",Jlgenstein Heinrich,Jlgenstein,Heinrich,.
13115,"Jlle, Marie",Jlle Marie,Jlle,Marie,.
13116,"Jls, Jakob",Jls Jakob,Jls,Jakob,.
13117,"Jobst, Julia",Jobst Julia,Jobst,Julia,.
13118,"Joeckel, Alfred",Joeckel Alfred,Joeckel,Alfred,.
13119,"Joeden, Margarete von",Joeden Margarete,Joeden,Margarete,.
13120,"Johann, König von Sachsen", Johann,,Johann,.
13121,"Johannsen, Otto Heinrich",Johannsen Otto Heinrich,Johannsen,Otto Heinrich,.
13122,"Jsemann, Bernd",Jsemann Bernd,Jsemann,Bernd,.
13123,"Jsolani, Eugen",Jsolani Eugen,Jsolani,Eugen,.
13124,"Judeich, Friedrich Johannes",Judeich Friedrich Johannes,Judeich,Friedrich Johannes,3. Februar 1869
13125,"Jünemann, Maria Regina",Jünemann Maria Regina,Jünemann,Maria Regina,.
13126,"Junghans, Sophie",Junghans Sophie,Junghans,Sophie,.
13127,"Jüngst, Antonie",Jüngst Antonie,Jüngst,Antonie,.
13128,"Jüngst, Hugo",Jüngst Hugo,Jüngst,Hugo,.
13129,"Justus, Dr",Justus Dr,Justus,Dr,.
13130,"Kaboth, Hans",Kaboth Hans,Kaboth,Hans,.
13131,"Kachellek, Albert",Kachellek Albert,Kachellek,Albert,19.April 1878
13132,"Kahler, Erich",Kahler Erich,Kahler,Erich,.
13133,"Kaiser, Paul",Kaiser Paul,Kaiser,Paul,.
13134,"Kaliebe, Luise",Kaliebe Luise,Kaliebe,Luise,.
13135,"Kamlah, Kurt",Kamlah Kurt,Kamlah,Kurt,.
13136,"Kämpfe, Paul",Kämpfe Paul,Kämpfe,Paul,.
13137,"Kappert, Adam",Kappert Adam,Kappert,Adam,.
13138,"Karafiat, Karl",Karafiat Karl,Karafiat,Karl,.
13139,"Karow, Marie",Karow Marie,Karow,Marie,29. Mai1879
13140,"Karrillon, Adam",Karrillon Adam,Karrillon,Adam,.
13141,"Karsten, Paula Franziska Wilhelmine",Karsten Paula Franziska Wilhelmine,Karsten,Paula Franziska Wilhelmine,.
13142,"Kaspar-Walzel, Joseph",Kaspar-Walzel Joseph,Kaspar-Walzel,Joseph,.
13143,"Kastner, Eduard Fedor",Kastner Eduard Fedor,Kastner,Eduard Fedor,.
13144,"Kastner(-Michalitschke), Else",Kastner(-Michalitschke) Else,Kastner(-Michalitschke),Else,.
13145,"Kastner, Willy",Kastner Willy,Kastner,Willy,.
13146,"Katscher, Bertha",Katscher Bertha,Katscher,Bertha,.
13147,"Kautsky, Minna",Kautsky Minna,Kautsky,Minna,21. Dezbr. 1912
13148,"Kayßler, Friedrich",Kayßler Friedrich,Kayßler,Friedrich,.
13149,"Keim, Franz",Keim Franz,Keim,Franz,.
13150,"Keiter, Therese",Keiter Therese,Keiter,Therese,.
13151,"Keller, Paul",Keller Paul,Keller,Paul, Oktbr. 1912
13152,"Keller, Samuel",Keller Samuel,Keller,Samuel,.
13153,"Kellermann, Karl Alfred",Kellermann Karl Alfred,Kellermann,Karl Alfred,.
13154,"Kematmüller, Heinrich",Kematmüller Heinrich,Kematmüller,Heinrich,.
13155,"Kempff, Fritz",Kempff Fritz,Kempff,Fritz, Dezbr. 1909
13156,"Kern, Julie",Kern Julie,Kern,Julie,.
13157,"Kernstock, Otto",Kernstock Otto,Kernstock,Otto,.
13158,"Keßler, Helene",Keßler Helene,Keßler,Helene,.
13159,"Keßler, Richard",Keßler Richard,Keßler,Richard,.
13160,"Keyserling, Graf Eduard",Keyserling Graf Eduard,Keyserling,Graf Eduard,15. Mai 1855
13161,"Kiefer, Wendel",Kiefer Wendel,Kiefer,Wendel,.
13162,"Kiene, Adolf",Kiene Adolf,Kiene,Adolf, Dezember 1911
13163,"Kiesekamp, Hedwig",Kiesekamp Hedwig,Kiesekamp,Hedwig,.
13164,"Kiesgen, Laurenz",Kiesgen Laurenz,Kiesgen,Laurenz,.
13165,"Kiesler, Bernhard",Kiesler Bernhard,Kiesler,Bernhard,.
13166,"Kinau, Hans",Kinau Hans,Kinau,Hans,.
13167,"Kipp, Friedrich",Kipp Friedrich,Kipp,Friedrich,.
13168,"Kirchbach, Marie",Kirchbach Marie,Kirchbach,Marie,.
13169,"Kirchsteiger, Hans",Kirchsteiger Hans,Kirchsteiger,Hans,.
13170,"Kirstein, Paul A",Kirstein Paul A,Kirstein,Paul A,.
13171,"Kisch, Egon Erwin",Kisch Egon Erwin,Kisch,Egon Erwin,.
13172,"Kistner, Anna",Kistner Anna,Kistner,Anna,2. Juli 1911
13173,"Klauprecht, Emil",Klauprecht Emil,Klauprecht,Emil,.
13174,"Klaußmann, Oskar",Klaußmann Oskar,Klaußmann,Oskar,.
13175,"Kleinschmidt, Albert",Kleinschmidt Albert,Kleinschmidt,Albert,.
13176,"Klemm, Johanna",Klemm Johanna,Klemm,Johanna,.
13177,"Klinckowström, Agnes Gräfin v",Klinckowström Agnes Gräfin v,Klinckowström,Agnes Gräfin v,.
13178,"Klitscher, Gustav",Klitscher Gustav,Klitscher,Gustav,.
13179,"Klötzer, Christian",Klötzer Christian,Klötzer,Christian,.
13180,"Kneschke(-Schönau), Martha",Kneschke(-Schönau) Martha,Kneschke(-Schönau),Martha,.
13181,"Knitl, Max",Knitl Max,Knitl,Max,.
13182,"Knobelsdorff-Brenkenhoff, Nataly von",Knobelsdorff-Brenkenhoff Nataly,Knobelsdorff-Brenkenhoff,Nataly,.
13183,"Knoop, Gerhard",Knoop Gerhard,Knoop,Gerhard,.
13184,"Köbele, Hanna",Köbele Hanna,Köbele,Hanna,.
13185,"Kobell, Luise von",Kobell Luise,Kobell,Luise,.
13186,"Kohlenegg, Viktor von",Kohlenegg Viktor,Kohlenegg,Viktor,.
13187,"Köhler, Heinrich",Köhler Heinrich,Köhler,Heinrich,.
13188,"Kohlrausch, Robert",Kohlrausch Robert,Kohlrausch,Robert,.
13189,"Kohne, Gustav",Kohne Gustav,Kohne,Gustav,.
13190,"Köhrer, Erich",Köhrer Erich,Köhrer,Erich,1. Juni1883
13191,"Kohut, Adolf",Kohut Adolf,Kohut,Adolf,10. Novbr. 1848
13192,"Koken, Paul Karl Julius Wilhelm",Koken Paul Karl Julius Wilhelm,Koken,Paul Karl Julius Wilhelm,2. Jan. 1853
