,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
217,"Appen, Karl August",Appen Karl August,Appen,Karl August, Juli 1864
218,"Aeppli, Emil",Aeppli Emil,Aeppli,Emil,19. Juli 1856
219,"Aram, Kurt",Aram Kurt,Aram,Kurt,.
220,"Arand, Charlotte",Arand Charlotte,Arand,Charlotte,.
221,"Arbter, Emma Wanda von",Arbter Emma Wanda,Arbter,Emma Wanda,26. Oktober 1819
222,"Aren, F. M",Aren F. M,Aren,F. M,.
223,"Aren, N",Aren N,Aren,N,24. Dezbr. 1843
224,"Arenberg, Sophie Karoline",Arenberg Sophie Karoline,Arenberg,Sophie Karoline,20. Novbr. 1857
225,"Arend, C. W",Arend C. W,Arend,C. W,.
226,"Arends, Leopold Alexander Friedrich",Arends Leopold Alexander Friedrich,Arends,Leopold Alexander Friedrich,22. Dezbr. 1882
227,"Arendt(-Morgenstern), Olga",Arendt Olga,Arendt,Olga,19. Novbr. 1859
228,"Arendt, Wilhelm",Arendt Wilhelm,Arendt,Wilhelm, Juni1895
229,"Arens, Bernard",Arens Bernard,Arens,Bernard,24. Juli1873
230,"Arens (von Braunrasch), Auguste, pseud. Julius Rasch",Arens Auguste,Arens,Auguste,.
231,"Arentsschildt, Louis von",Arentsschildt Louis,Arentsschildt,Louis,29. Juli 1807
232,"Ariosto Helvetico, Messer Ludovico",Ariosto Helvetico Messer Ludovico,Ariosto Helvetico,Messer Ludovico,.
233,Armand,Armand,Armand,,.
234,"Armand, Carl",Armand Carl,Armand,Carl,.
235,Armin,Armin,Armin,,.
236,Armin,Armin,Armin,,.
237,"Arming, Friedrich Wilhelm",Arming Friedrich Wilhelm,Arming,Friedrich Wilhelm,4. März 1864
238,"Arminius, Wilhelm",Arminius Wilhelm,Arminius,Wilhelm,.
239,"Armstrong, B. L",Armstrong B. L,Armstrong,B. L,.
240,"Arnd, Karl Eduard",Arnd Karl Eduard,Arnd,Karl Eduard,23. Febr. 1802
241,"Arndt, Amalie Katharine Luise",Arndt Amalie Katharine Luise,Arndt,Amalie Katharine Luise,.
242,"Arndt, Bruno",Arndt Bruno,Arndt,Bruno,5. Mai1874
