gnd,wohnort_1,wohnort_2,wohnort_3,wohnort_4,wohnort_5,wohnort_6,wohnort_7,wohnort_8,wohnort_9,wohnort_10,wohnort_11,wohnort_12,wohnort_13,wohnort_14,wohnort_15,wohnort_16,wohnort_17,wohnort_18
117569364,Düsseldorf,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117585017,Eisenach,Luxemburg,Halle,Hannover,Glatz,Hall,.,.,.,.,.,.,.,.,.,.,.,.
117595845,Halberstadt,Halle,Hall,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117597953,Reutlingen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117598127,Belgard,Breslau,Rom,Berlin,Kolberg,Rom,.,.,.,.,.,.,.,.,.,.,.,.
117602159,Düsseldorf,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117608165,Reutlingen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117611417,Mannheim,Wien,Hietzing,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117614580,Berlin,Altona,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117624233,Oels,Breslau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117625884,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117628700,Broos,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117635871,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117638943,Königsberg,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117648779,Friedenau,Baltimore,Berlin,Posen,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.
117664197,Leipzig,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117676802,Schässburg,Dresden,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117687448,Rom,Berlin,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117700916,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117722375,Königsberg,Rom,Leipzig,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117722758,München,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117732486,Breslau,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117735663,Stade,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117741302,Düsseldorf,Tegernsee,Prag,Villa Kleinschrod,Stuttgart,Moskau,Liegnitz,Hamburg,Leipzig,Berlin,München,Dresden,Ries,.,.,.,.,.
117741361,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117742635,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117751537,Iena,Rom,Gera,Wenigensömmern,Weimar,Rom,.,.,.,.,.,.,.,.,.,.,.,.
117758973,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117760838,Leipzig,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117761249,Bern,Prag,Dobřisch,Forst,Goslar,Bernburg a. d. Saale,.,.,.,.,.,.,.,.,.,.,.,.
117761354,Cassel,Kassel,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117761591,Königsberg,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117763519,Frankfurt a. M.,Castasegna,Graubünden,Rom,Chur,Rom,.,.,.,.,.,.,.,.,.,.,.,.
117764167,Wien,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117764558,Prag,Stein,Rom,Berlin,Rom,Hirschberg,Berlins,.,.,.,.,.,.,.,.,.,.,.
117764574,Bern,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117764876,Danzig,Zoppot,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117764892,Rom,Rom,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117765716,Wien,Brünn,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117766429,Stein,Ursulerinnenkloster,Wien,Neuraussnitz,Brünn,.,.,.,.,.,.,.,.,.,.,.,.,.
117766895,Berlin,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117767115,Hamburg,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117767387,Wien,Grevesmühlen,Breslau,Lissabon,Lissa,.,.,.,.,.,.,.,.,.,.,.,.,.
117767441,Wien,Troppau,Bartenstein,Brünn,.,.,.,.,.,.,.,.,.,.,.,.,.,.
117767662,Stuttgart,Schweinfurt,Erlangen,Berlin,Konstanz,.,.,.,.,.,.,.,.,.,.,.,.,.
117767697,Gera,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
